Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Destination Country	Permit #	Inclusive	Invoice #	Date	Customer PO	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Inc-Tax Price	Discount	Total	Inc-Tax Total	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Non-GST Amount	GST Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Sale Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Expiry Date	Authorisation Code	Account Number	Account Name	Cheque Number	Category	Location ID	Card ID	Record ID
PELANGI NUSANTARA. CV		CASH BACK						X	00003864	08/05/2026	2900		A	PLP 199G	12	DAMDEX MLT FGS 5 LTR @ 6 GLN	Rp1.353.621,6217	Rp1.502.520,00	0%	Rp16.243.459,46	Rp18.030.240,00			Sale; PELANGI NUSANTARA. CV	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp1.786.780,54			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3364

SARI PERTIWI		SARI PERTIWI	JL. RAYA PENGOSEKAN, UBUD	GIANYAR				X	00003866	08/05/2026	2471		A	TPG 011G	20	CORNICE ADH APLUS @ 20 KG	Rp58.558,5585	Rp65.000,00	0%	Rp1.171.171,17	Rp1.300.000,00			Sale; SARI PERTIWI	I KOMANG SUASTANA				PPN	Rp0,00	Rp128.828,83			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4304
SARI PERTIWI		SARI PERTIWI	JL. RAYA PENGOSEKAN, UBUD	GIANYAR				X	00003866	08/05/2026	2471		A	TPG 014GBT	5	CORNICE ADH APLUS @ 20 BKS	Rp117.117,118	Rp130.000,00	0%	Rp585.585,59	Rp650.000,00			Sale; SARI PERTIWI	I KOMANG SUASTANA				PPN	Rp0,00	Rp64.414,41			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4304

KARYA BAKTI ASIH. UD		KARYA BAKTI ASIH. UD	JL NYUH KUNING, PENGOSEKAN, UBUD, GIANYAR					X	00003868	08/05/2026	0151		A	ATAP 109GBT	100	GO GREEN HIJAU 180 X 80	Rp45.045,045	Rp50.000,00	0%	Rp4.504.504,50	Rp5.000.000,00			Sale; KARYA BAKTI ASIH. UD	I KOMANG SUASTANA				PPN	Rp0,00	Rp495.495,50			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp2.500.000,00											002	*None	3712
KARYA BAKTI ASIH. UD		KARYA BAKTI ASIH. UD	JL NYUH KUNING, PENGOSEKAN, UBUD, GIANYAR					X	00003868	08/05/2026	0151		A	RGK 0011	100	HOLLOW MBT 0.30 2X4 PJ 4MTR	Rp10.360,3604	Rp11.500,00	0%	Rp1.036.036,04	Rp1.150.000,00			Sale; KARYA BAKTI ASIH. UD	I KOMANG SUASTANA				PPN	Rp0,00	Rp113.963,96			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp2.500.000,00											002	*None	3712
KARYA BAKTI ASIH. UD		KARYA BAKTI ASIH. UD	JL NYUH KUNING, PENGOSEKAN, UBUD, GIANYAR					X	00003868	08/05/2026	0151		A	RGK 060GBT	60	HOLLOW BUKIT 0,30 4X4 PJ 4 MTR	Rp13.513,5135	Rp15.000,00	0%	Rp810.810,81	Rp900.000,00			Sale; KARYA BAKTI ASIH. UD	I KOMANG SUASTANA				PPN	Rp0,00	Rp89.189,19			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp2.500.000,00											002	*None	3712

CANDI BALI		CANDI BALI	JL. SAYAN UBUD	GIANYAR				X	00003869	08/05/2026	2483		A	ATAP 109GBT	300	GO GREEN HIJAU 180 X 80	Rp45.045,045	Rp50.000,00	0%	Rp13.513.513,51	Rp15.000.000,00			Sale; CANDI BALI	I KOMANG SUASTANA				PPN	Rp0,00	Rp1.486.486,49			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3272
CANDI BALI		CANDI BALI	JL. SAYAN UBUD	GIANYAR				X	00003869	08/05/2026	2483		A	ATAP 108GBT	100	GO GREEN MERAH 180 X 80	Rp45.045,0451	Rp50.000,00	0%	Rp4.504.504,51	Rp5.000.000,00			Sale; CANDI BALI	I KOMANG SUASTANA				PPN	Rp0,00	Rp495.495,49			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3272

SARANA INDAH 2 . UD		SARANA INDAH 2 . UD	JL DARMASABA, LUKLUK, BADUNG					X	00003916	09/05/2026			A	BOARD 106G	500	KALSIPLANK JT 8 MM (20 X 300)	Rp28.378,3784	Rp31.500,00	0%	Rp14.189.189,19	Rp15.750.000,00			Sale; SARANA INDAH 2 . UD	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp1.560.810,81			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp4.850.000,00											002	*None	5493

SATWIKA JAYA. UD		SATWIKA JAYA. UD	JL RAYA KAPAL, MUNGGU, BADUNG					X	00003950	11/05/2026	0067		A	BOARD 030G	150	KALSILING 3,5 MM (122 X 244)	Rp58.918,9189	Rp65.400,00	0%	Rp8.837.837,84	Rp9.810.000,00			Sale; SATWIKA JAYA. UD	WAYAN SUARTAMA				PPN	Rp0,00	Rp972.162,16			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4319
SATWIKA JAYA. UD		SATWIKA JAYA. UD	JL RAYA KAPAL, MUNGGU, BADUNG					X	00003950	11/05/2026	0067		A	BOARD 106G	100	KALSIPLANK JT 8 MM (20 X 300)	Rp28.828,8288	Rp32.000,00	0%	Rp2.882.882,88	Rp3.200.000,00			Sale; SATWIKA JAYA. UD	WAYAN SUARTAMA				PPN	Rp0,00	Rp317.117,12			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4319

NUADA GYPSUM		NUADA GYPSUM	JL.BY PASS KEDIRI, TABANAN					X	00003951	11/05/2026	2585		A	BOARD 106G	300	KALSIPLANK JT 8 MM (20 X 300)	Rp28.828,8288	Rp32.000,00	0%	Rp8.648.648,65	Rp9.600.000,00			Sale; NUADA GYPSUM	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp951.351,35			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4000

PUSPA UTAMA		PUSPA UTAMA	JL RAYA DARMASABA, LUKLUK, BADUNG					X	00003993	11/05/2026	0204		A	ATAP 109GBT	110	GO GREEN HIJAU 180 X 80	Rp45.045,045	Rp50.000,00	0%	Rp4.954.954,95	Rp5.500.000,00			Sale; PUSPA UTAMA	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp545.045,05			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4119
PUSPA UTAMA		PUSPA UTAMA	JL RAYA DARMASABA, LUKLUK, BADUNG					X	00003993	11/05/2026	0204		A	ATAP 108GBT	40	GO GREEN MERAH 180 X 80	Rp45.045,0453	Rp50.000,00	0%	Rp1.801.801,81	Rp2.000.000,00			Sale; PUSPA UTAMA	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp198.198,19			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4119

MERTA SEDANA, SADING		MERTA SEDANA, SADING	JL. RAYA SADING, SEMPIDI, BADUNG					X	00003992	12/05/2026	0203		A	ATAP 001G	100	ETER11 3,5 MM (80 X 180)	Rp33.783,7838	Rp37.500,00	0%	Rp3.378.378,38	Rp3.750.000,00			Sale; MERTA SEDANA, SADING	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp371.621,62			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp2.000.000,00											002	*None	3932

LUH DE BANGUNAN		LUH DE BANGUNAN	JL.RAYA SANGEH	BADUNG				X	00003996	12/05/2026	2897		A	PLP 197GBT	1	DAMDEX MLT FGS 1 LTR @ 24 JRG	Rp1.209.729,73	Rp1.342.800,00	0%	Rp1.209.729,73	Rp1.342.800,00			Sale; LUH DE BANGUNAN	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp133.070,27			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3815

RATNA MANDIRI		RATNA MANDIRI	JL. SEDIAAN AYUNG, DAWAN KLOD					X	00004000	12/05/2026	0118		A	ATAP 075 GBT	50	TRIMDEK SILVER BD 0,25X4 MTR	Rp86.486,4864	Rp96.000,00	0%	Rp4.324.324,32	Rp4.800.000,00			Sale; RATNA MANDIRI	ANGGA				PPN	Rp0,00	Rp475.675,68			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	5265
RATNA MANDIRI		RATNA MANDIRI	JL. SEDIAAN AYUNG, DAWAN KLOD					X	00004000	12/05/2026	0118		A	ATAP 077 GBT	50	TRIMDEK SILVER BD 0,25X6 MTR	Rp129.729,7298	Rp144.000,00	0%	Rp6.486.486,49	Rp7.200.000,00			Sale; RATNA MANDIRI	ANGGA				PPN	Rp0,00	Rp713.513,51			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	5265
RATNA MANDIRI		RATNA MANDIRI	JL. SEDIAAN AYUNG, DAWAN KLOD					X	00004000	12/05/2026	0118		A	ATAP 078 GBT	50	TRIMDEK SILVER BD 0,25X6,2 MTR	Rp134.054,054	Rp148.800,00	0%	Rp6.702.702,70	Rp7.440.000,00			Sale; RATNA MANDIRI	ANGGA				PPN	Rp0,00	Rp737.297,30			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	5265

KERTI YASA, GIANYAR		KERTI YASA, GIANYAR	JL PURA PUSEH, BATUBULAN	GIANYAR				X	00004003	12/05/2026	0152		A	ATAP 109GBT	50	GO GREEN HIJAU 180 X 80	Rp45.945,946	Rp51.000,00	0%	Rp2.297.297,30	Rp2.550.000,00			Sale; KERTI YASA, GIANYAR	I KOMANG SUASTANA				PPN	Rp0,00	Rp252.702,70			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3760
KERTI YASA, GIANYAR		KERTI YASA, GIANYAR	JL PURA PUSEH, BATUBULAN	GIANYAR				X	00004003	12/05/2026	0152		A	PLP 198GBT	12	DAMDEX MLT FGS @ 1 LTR	Rp50.450,45	Rp56.000,00	0%	Rp605.405,40	Rp672.000,00			Sale; KERTI YASA, GIANYAR	I KOMANG SUASTANA				PPN	Rp0,00	Rp66.594,60			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3760

DADI GEDE BANGUNAN		DADI GEDE BANGUNAN	JL. KEBO IWA SELATAN DENPASAR					X	00004014	12/05/2026			A	BOARD 028G	30	KALSILING 3,5 MM (120 X 240)	Rp58.108,108	Rp64.500,00	0%	Rp1.743.243,24	Rp1.935.000,00			Sale; DADI GEDE BANGUNAN	WAYAN SUARTAMA				PPN	Rp0,00	Rp191.756,76			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4842

AKAR INDAH. UD		AKAR INDAH. UD	JL. NANGKA SELATAN NO. 112	DENPASAR				X	00004063	12/05/2026			A	BOARD 030G	50	KALSILING 3,5 MM (122 X 244)	Rp58.918,919	Rp65.400,00	0%	Rp2.945.945,95	Rp3.270.000,00			Sale; AKAR INDAH. UD	WAYAN SUARTAMA				PPN	Rp0,00	Rp324.054,05			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	2433
AKAR INDAH. UD		AKAR INDAH. UD	JL. NANGKA SELATAN NO. 112	DENPASAR				X	00004063	12/05/2026			A	TPG 011G	20	CORNICE ADH APLUS @ 20 KG	Rp58.558,5585	Rp65.000,00	0%	Rp1.171.171,17	Rp1.300.000,00			Sale; AKAR INDAH. UD	WAYAN SUARTAMA				PPN	Rp0,00	Rp128.828,83			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	2433

PURI INDAH		PURI INDAH	JL RAYA ABIAN SEMAL, SANGEH, BADUNG					X	00004016	13/05/2026	0206		A	BOARD 030G	100	KALSILING 3,5 MM (122 X 244)	Rp58.918,9189	Rp65.400,00	0%	Rp5.891.891,89	Rp6.540.000,00			Sale; PURI INDAH	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp648.108,11			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp4.000.000,00											002	*None	4110
PURI INDAH		PURI INDAH	JL RAYA ABIAN SEMAL, SANGEH, BADUNG					X	00004016	13/05/2026	0206		A	BOARD 028G	100	KALSILING 3,5 MM (120 X 240)	Rp56.756,7568	Rp63.000,00	0%	Rp5.675.675,68	Rp6.300.000,00			Sale; PURI INDAH	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp624.324,32			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp4.000.000,00											002	*None	4110

SUMBER NADI, DENPASAR		SUMBER NADI, DENPASAR	JL AHMAD YANI 226	DENPASAR				X	00004062	13/05/2026	0207		A	BOARD 030G	50	KALSILING 3,5 MM (122 X 244)	Rp58.918,919	Rp65.400,00	0%	Rp2.945.945,95	Rp3.270.000,00			Sale; SUMBER NADI, DENPASAR	KADEK ANDRE ADI PRASETYA				PPN	Rp0,00	Rp324.054,05			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4469

CAHAYA KENCANA SURYA GROSIR. CV		CASHBACK						X	00004192	13/05/2026			A	PLP 197GBT	30	DAMDEX MLT FGS 1 LTR @ 24 JRG	Rp1.149.243,2433	Rp1.275.660,00	0%	Rp34.477.297,30	Rp38.269.800,00			Sale; CAHAYA KENCANA SURYA GROSIR. CV	OFFICE				PPN	Rp0,00	Rp3.792.502,70			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4813
CAHAYA KENCANA SURYA GROSIR. CV		CASHBACK						X	00004192	13/05/2026			A	PLP 199G	30	DAMDEX MLT FGS 5 LTR @ 6 GLN	Rp1.353.621,6217	Rp1.502.520,00	0%	Rp40.608.648,65	Rp45.075.600,00			Sale; CAHAYA KENCANA SURYA GROSIR. CV	OFFICE				PPN	Rp0,00	Rp4.466.951,35			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4813

RHAMBON SANTOSA		RHAMBON SANTOSA	JL. RAYA PANGLAN, KAPAL - MENGWI, BADUNG	DENPASAR				X	00004193	13/05/2026	2599		A	RGK 0011	40	HOLLOW MBT 0.30 2X4 PJ 4MTR	Rp10.360,3603	Rp11.500,00	0%	Rp414.414,41	Rp460.000,00			Sale; RHAMBON SANTOSA	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp45.585,59			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4208
RHAMBON SANTOSA		RHAMBON SANTOSA	JL. RAYA PANGLAN, KAPAL - MENGWI, BADUNG	DENPASAR				X	00004193	13/05/2026	2599		A	BOARD 106G	20	KALSIPLANK JT 8 MM (20 X 300)	Rp31.081,0815	Rp34.500,00	0%	Rp621.621,63	Rp690.000,00			Sale; RHAMBON SANTOSA	HADI PRANOTO WIBOWO				PPN	Rp0,00	Rp68.378,37			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	4208

KURNIA JAYA. UD		KURNIA JAYA. UD	JL LETDA KAJENG NO 20	DENPASAR				X	00004195	13/05/2026			A	RGK 061GBT	120	HOLLOW BUKIT 0,30 2X4 PJ 4 MTR	Rp10.540,5405	Rp11.700,00	0%	Rp1.264.864,86	Rp1.404.000,00			Sale; KURNIA JAYA. UD	WAYAN SUARTAMA				PPN	Rp0,00	Rp139.135,14			PPN	Rp0,00	Rp0,00	I			2	0	30	0	0	Rp0,00											002	*None	3789
